ASCT+B-FTU Crosswalk Table for Nephron,,,,,,,,
,,,,,,,,
Author Name(s):,Fauzan Isnaini,,,,,,,
Image Source:,BioRender. [Online]. Available: https://biorender.com/. [Accessed: 04-Aug-2021].,,,,,,,
Date:,8/10/2021,,,,,,,
Version Number:,1.0,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
svg_id,label,OntologyID,representation_of,exist_asctb,type,REF,REF/DOI,REF/NOTES
epithelium_of_crypt_of_lieberkuhn,epithelium of crypt of Lieberkuhn,UBERON:0011184,http://purl.obolibrary.org/obo/CL_0009016,1,AS,"W. K. Ovalle, P. C. Nahirney, and F. H. Netter, Netter's essential histology with correlated histopathology. Philadelphia: Elsevier, 2021.",,
epithelial_stem_cell_1,intestinal crypt stem cell of large intestine,CL:0009016,http://purl.obolibrary.org/obo/CL_0009016,1,CT,"W. K. Ovalle, P. C. Nahirney, and F. H. Netter, Netter's essential histology with correlated histopathology. Philadelphia: Elsevier, 2021.",,
epithelial_stem_cell_2,intestinal crypt stem cell of large intestine,CL:0009016,http://purl.obolibrary.org/obo/CL_0009016,1,CT,"W. K. Ovalle, P. C. Nahirney, and F. H. Netter, Netter's essential histology with correlated histopathology. Philadelphia: Elsevier, 2021.",,
enteroendocrine_cell_1,neuroendocrine,CL:0000165,http://purl.obolibrary.org/obo/CL_0000165,1,CT,"W. K. Ovalle, P. C. Nahirney, and F. H. Netter, Netter's essential histology with correlated histopathology. Philadelphia: Elsevier, 2021.",,
enteroendocrine_cell_2,neuroendocrine,CL:0000165,http://purl.obolibrary.org/obo/CL_0000165,1,CT,"W. K. Ovalle, P. C. Nahirney, and F. H. Netter, Netter's essential histology with correlated histopathology. Philadelphia: Elsevier, 2021.",,
enteroendocrine_cell_3,neuroendocrine,CL:0000165,http://purl.obolibrary.org/obo/CL_0000165,1,CT,"W. K. Ovalle, P. C. Nahirney, and F. H. Netter, Netter's essential histology with correlated histopathology. Philadelphia: Elsevier, 2021.",,
absorptive_cell_1,enterocyte of epithelium of large intestine,CL:0002071,http://purl.obolibrary.org/obo/CL_0002071,1,CT,"W. K. Ovalle, P. C. Nahirney, and F. H. Netter, Netter's essential histology with correlated histopathology. Philadelphia: Elsevier, 2021.",,
absorptive_cell_2,enterocyte of epithelium of large intestine,CL:0002071,http://purl.obolibrary.org/obo/CL_0002071,1,CT,"W. K. Ovalle, P. C. Nahirney, and F. H. Netter, Netter's essential histology with correlated histopathology. Philadelphia: Elsevier, 2021.",,
absorptive_cell_3,enterocyte of epithelium of large intestine,CL:0002071,http://purl.obolibrary.org/obo/CL_0002071,1,CT,"W. K. Ovalle, P. C. Nahirney, and F. H. Netter, Netter's essential histology with correlated histopathology. Philadelphia: Elsevier, 2021.",,
absorptive_cell_4,enterocyte of epithelium of large intestine,CL:0002071,http://purl.obolibrary.org/obo/CL_0002071,1,CT,"W. K. Ovalle, P. C. Nahirney, and F. H. Netter, Netter's essential histology with correlated histopathology. Philadelphia: Elsevier, 2021.",,
goblet_cell_1,large intestine crypt goblet cell,CL:1000321,http://purl.obolibrary.org/obo/CL_1000321,1,CT,"W. K. Ovalle, P. C. Nahirney, and F. H. Netter, Netter's essential histology with correlated histopathology. Philadelphia: Elsevier, 2021.",,
goblet_cell_2,large intestine crypt goblet cell,CL:1000321,http://purl.obolibrary.org/obo/CL_1000321,1,CT,"W. K. Ovalle, P. C. Nahirney, and F. H. Netter, Netter's essential histology with correlated histopathology. Philadelphia: Elsevier, 2021.",,
goblet_cell_3,large intestine crypt goblet cell,CL:1000321,http://purl.obolibrary.org/obo/CL_1000321,1,CT,"W. K. Ovalle, P. C. Nahirney, and F. H. Netter, Netter's essential histology with correlated histopathology. Philadelphia: Elsevier, 2021.",,
goblet_cell_4,large intestine crypt goblet cell,CL:1000321,http://purl.obolibrary.org/obo/CL_1000321,1,CT,"W. K. Ovalle, P. C. Nahirney, and F. H. Netter, Netter's essential histology with correlated histopathology. Philadelphia: Elsevier, 2021.",,
goblet_cell_5,large intestine crypt goblet cell,CL:1000321,http://purl.obolibrary.org/obo/CL_1000321,1,CT,"W. K. Ovalle, P. C. Nahirney, and F. H. Netter, Netter's essential histology with correlated histopathology. Philadelphia: Elsevier, 2021.",,
