ASCT+B-FTU Crosswalk Table for Alveoli,,,,,,,,
,,,,,,,,
Author Name(s):,Fauzan Isnaini,,,,,,,
Image Source:,"E. B. I. G. E. T. – https://www.ebi.ac.uk/about/people/irene-papatheodorou, “Single cell expression atlas,” Experiment. [Online]. Available: https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-130148/results/anatomogram. [Accessed: 04-Aug-2021].",,,,,,,
Date:,7/12/2021,,,,,,,
Version Number:,1,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
svg_id,label,OntologyID,representation_of,exist_asctb,type,REF,REF/DOI,REF/NOTES
pulmonary_alveolar_parenchyma,pulmonary alveolar parenchyma,UBERON:0008870,http://purl.obolibrary.org/obo/UBERON_0008870,1,AS,"E. B. I. G. E. T. – https://www.ebi.ac.uk/about/people/irene-papatheodorou, “Single Cell Expression Atlas,” Experiment. [Online]. Available: https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-130148/results/anatomogram. [Accessed: 23-Jul-2021].",,
pulmonary_capillary_1,pulmonary capillary,UBERON:0016405,http://purl.obolibrary.org/obo/UBERON_0016405,1,AS,"E. B. I. G. E. T. – https://www.ebi.ac.uk/about/people/irene-papatheodorou, “Single Cell Expression Atlas,” Experiment. [Online]. Available: https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-130148/results/anatomogram. [Accessed: 23-Jul-2021].",,
pulmonary_capillary_2,pulmonary capillary,UBERON:0016405,http://purl.obolibrary.org/obo/UBERON_0016405,1,AS,"E. B. I. G. E. T. – https://www.ebi.ac.uk/about/people/irene-papatheodorou, “Single Cell Expression Atlas,” Experiment. [Online]. Available: https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-130148/results/anatomogram. [Accessed: 23-Jul-2021].",,
pulmonary_capillary_3,pulmonary capillary,UBERON:0016405,http://purl.obolibrary.org/obo/UBERON_0016405,1,AS,"E. B. I. G. E. T. – https://www.ebi.ac.uk/about/people/irene-papatheodorou, “Single Cell Expression Atlas,” Experiment. [Online]. Available: https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-130148/results/anatomogram. [Accessed: 23-Jul-2021].",,
pulmonary_capillary_4,pulmonary capillary,UBERON:0016405,http://purl.obolibrary.org/obo/UBERON_0016405,1,AS,"E. B. I. G. E. T. – https://www.ebi.ac.uk/about/people/irene-papatheodorou, “Single Cell Expression Atlas,” Experiment. [Online]. Available: https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-130148/results/anatomogram. [Accessed: 23-Jul-2021].",,
respiratory_system_lymphatic_vessel_endothelium,respiratory system lymphatic vessel endothelium,UBERON:0003529,http://purl.obolibrary.org/obo/UBERON_0003529,1,AS,"E. B. I. G. E. T. – https://www.ebi.ac.uk/about/people/irene-papatheodorou, “Single Cell Expression Atlas,” Experiment. [Online]. Available: https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-130148/results/anatomogram. [Accessed: 23-Jul-2021].",,
type_I_pneumocyte,type I pneumocyte,CL:0002062,http://purl.obolibrary.org/obo/CL_0002062,1,CT,"E. B. I. G. E. T. – https://www.ebi.ac.uk/about/people/irene-papatheodorou, “Single Cell Expression Atlas,” Experiment. [Online]. Available: https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-130148/results/anatomogram. [Accessed: 23-Jul-2021].",,
type_II_pneumocyte,type II pneumocyte,CL:0002063,http://purl.obolibrary.org/obo/CL_0002063,1,CT,"E. B. I. G. E. T. – https://www.ebi.ac.uk/about/people/irene-papatheodorou, “Single Cell Expression Atlas,” Experiment. [Online]. Available: https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-130148/results/anatomogram. [Accessed: 23-Jul-2021].",,
pericyte_cell_1,pericyte cell,CL:0000669,http://purl.obolibrary.org/obo/CL_0000669,1,CT,"E. B. I. G. E. T. – https://www.ebi.ac.uk/about/people/irene-papatheodorou, “Single Cell Expression Atlas,” Experiment. [Online]. Available: https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-130148/results/anatomogram. [Accessed: 23-Jul-2021].",,
pericyte_cell_2,pericyte cell,CL:0000669,http://purl.obolibrary.org/obo/CL_0000669,1,CT,"E. B. I. G. E. T. – https://www.ebi.ac.uk/about/people/irene-papatheodorou, “Single Cell Expression Atlas,” Experiment. [Online]. Available: https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-130148/results/anatomogram. [Accessed: 23-Jul-2021].",,
endothelial_cell_of_lymphatic_vessel,endothelial cell of lymphatic vessel,CL:0002138,http://purl.obolibrary.org/obo/CL_0002138,1,CT,"E. B. I. G. E. T. – https://www.ebi.ac.uk/about/people/irene-papatheodorou, “Single Cell Expression Atlas,” Experiment. [Online]. Available: https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-130148/results/anatomogram. [Accessed: 23-Jul-2021].",,
