svg_id,label,OntologyID,representation_of
parietal_epithelial_cells,parietal epithelial cell,CL:1000452,http://purl.obolibrary.org/obo/CL_1000452
podocytes,glomerular visceral epithelial cell,CL:0000653,
path571,glomerular capillary endothelial cell,CL:1001005,
path573,glomerular capillary endothelial cell,CL:1001005,
path49,glomerular mesangial cell,CL:1000742,
path51,glomerular mesangial cell,CL:1000742,
path53,glomerular mesangial cell,CL:1000742,
path55,glomerular mesangial cell,CL:1000742,
path57,glomerular mesangial cell,CL:1000742,
path61,glomerular mesangial cell,CL:1000742,
path63,glomerular mesangial cell,CL:1000742,
path65,glomerular mesangial cell,CL:1000742,
path67,glomerular mesangial cell,CL:1000742,
path69,glomerular mesangial cell,CL:1000742,
path71,glomerular mesangial cell,CL:1000742,
path73,glomerular mesangial cell,CL:1000742,
path75,glomerular mesangial cell,CL:1000742,
path103,glomerular mesangial cell,CL:1000742,
